REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES,ICAO 24,ICAO ACFT CLASS,OWNER,COUNTRY
G-KAMP,,PA18,,,,,,,,,,,,,,403DD5,L1P,PRIVATE,UNITED KINGDOM
G-KAMY,,T6,,,,,,,,,,,,,,406630,L1P,PRIVATE,UNITED KINGDOM
G-KANF,,B505,,,,,,,,,,,,,,4.07E+38,H1T,,UNITED KINGDOM
G-KANZ,,UNDEFINED,,,,,,,,,,,,,,404EDB,,,UNITED KINGDOM
G-KAOM,,SF25,,,,,,,,,,,,,,403F2E,L1P,PRIVATE,UNITED KINGDOM
G-KAOS,,RV7,,,,,,,,,,,,,,404973,L1P,PRIVATE,UNITED KINGDOM
G-KAPW,,PPRO,,,,,,,,,,,,,,403EA0,L1P,THE SHUTTLEWORTH COLLECTION,UNITED KINGDOM
G-KARA,,ZZZZ,,,,,,,,,,,,,,40274D,,PRIVATE,UNITED KINGDOM
G-KARE,,PC12,,,,,,,,,,,,,,406F3C,L1T,GRAHAM AIRCRAFT HIRE LTD,UNITED KINGDOM
G-KARI,,SUBA,,,,,,,,,,,,,,402218,L1P,PRIVATE,UNITED KINGDOM
G-KARK,,MCR1,,,,,,,,,,,,,,404AAF,L1P,PRIVATE,UNITED KINGDOM
G-KARL,,G2CA,,,,,,,,,,,,,,407B51,H1P,,UNITED KINGDOM
G-KARN,,EXEC,,,,,,,,,,,,,,40327D,H1P,IAIN ROBERT BROWN,UNITED KINGDOM
G-KART,,P28A,,,,,,,,,,,,,,403479,L1P,PRIVATE,UNITED KINGDOM
G-KASW,,CDUS,,,,,,,,,,,,,,40628D,G1P,KENNETH CHARLES WIGLEY,UNITED KINGDOM
G-KASX,,SPIT,,,,,,,,,,,,,,4012B4,L1P,KENNET AVIATION,UNITED KINGDOM
G-KATI,,CRER,,,,,,,,,,,,,,403BC1,L1P,PRIVATE,UNITED KINGDOM
G-KATT,,C152,,,,,,,,,,,,,,40270D,L1P,PRIVATE,UNITED KINGDOM
G-KAVI,,C182,,,,,,,,,,,,,,408091,,,UNITED KINGDOM
G-KAWA,,FOX,,,,,,,FOX,,,,,,,40330000,L1P,PRIVATE,UNITED KINGDOM
G-KAXF,,HUNT,,,,,,,,,,,,,,403B53,L1J,DUTCH HAWKER HUNTER FOUNDATION,UNITED KINGDOM
G-KAXT,,UNDEFINED,,,,,,,,,,,,,,4046DA,,,UNITED KINGDOM
