REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES,ICAO 24,ICAO ACFT CLASS,OWNER,COUNTRY
252,IRISH AIR CORPS,CN35,,,,,,,IRL,,,IRISH,,,,4CA13E,L2T,IRISH AIR CORPS,IRELAND
253,IRISH AIR CORPS,CN35,,,,,,,IRL,,,IRISH,,,,4CA13F,L2T,IRISH AIR CORPS,IRELAND
254,,BN2T,,,,,,,,,,,,,,4CA41B,L2T,,IRELAND
256,,EC35,,,,,,,,,,,,,,4CA158,H2T,IRISH POLICE,IRELAND
258,IRISH AIR CORPS,LJ45,,,,,,,IRL,,,IRISH,,,,4CA204,L2J,IRISH AIR CORPS,IRELAND
260,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E7,L1T,IRISH AIR CORPS,IRELAND
261,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E8,L1T,IRISH AIR CORPS,IRELAND
262,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E9,L1T,IRISH AIR CORPS,IRELAND
263,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EA,L1T,IRISH AIR CORPS,IRELAND
264,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EB,L1T,IRISH AIR CORPS,IRELAND
265,,C337,,,,,,,,,,,,,,4CA1EC,L2P,,IRELAND
266,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1ED,L1T,IRISH AIR CORPS,IRELAND
267,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EE,L1T,IRISH AIR CORPS,IRELAND
269,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA41A,L1T,IRISH AIR CORPS,IRELAND
270,IRISH AIR CORPS,EC35,,,,,,,IRL,,,IRISH,,,,4CA28C,H2T,IRISH AIR CORPS,IRELAND
271,IRISH AIR CORPS,EC35,,,,,,,IRL,,,IRISH,,,,4CA28B,H2T,IRISH AIR CORPS,IRELAND
272,,EC35,,,,,,,,,,,,,,4CA31A,H2T,IRISH POLICE,IRELAND
274,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA31E,H2T,IRISH AIR CORPS,IRELAND
275,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA330,H2T,IRISH AIR CORPS,IRELAND
276,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA331,H2T,IRISH AIR CORPS,IRELAND
277,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA332,H2T,IRISH AIR CORPS,IRELAND
278,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA335,H2T,IRISH AIR CORPS,IRELAND
279,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA336,H2T,IRISH AIR CORPS,IRELAND
280,IRISH AIR CORPS,PC12,,,,,,,IRL,,,IRISH,,,,4CA44B,L1T,IAC - 102 SQN [EIME],IRELAND
281,,PC12,,,,,,,,,,,,,,4CA41C,L1T,,IRELAND
282,,PC12,,,,,,,,,,,,,,4CA41D,L1T,,IRELAND
283,,PC12,,,,,,,,,,,,,,4CA41E,L1T,,IRELAND
2-AALA,,AT75,,,,,,,,,,,,,,43EEB2,L2T,,UNITED KINGDOM
2-ABAC,,B738,,,,,,,,,,,,,,43ED55,L2J,,UNITED KINGDOM
2-ABCD,,AT75,,,,,,,,,,,,,,43F75E,,,GUERNSEY
2-ACIA,,AT75,,,,,,,,,,,,,,43EC5B,,,GUERNSEY
2-ACSB,,A319,,,,,,,,,,,,,,43ECA3,L2J,,UNITED KINGDOM
2-ACSJ,,A320,,,,,,,,,,,,,,43EDF4,L2J,,UNITED KINGDOM
2-ACSM,,B737,,,,,,,,,,,,,,43EDED,L2J,,UNITED KINGDOM
2-ACUA,,A332,,,,,,,,,,,,,,43ECCB,L2J,,UNITED KINGDOM
2-ADAE,,A20N,,,,,,,,,,,,,,43F765,,,GUERNSEY
2-AECA,,A21N,,,,,,,,,,,,,,43F6E7,,,GUERNSEY
2-AECB,,A21N,,,,,,,,,,,,,,43F6E5,,,GUERNSEY
2-AECH,,,,,,,,,,,,,,,,43F76C,,,GUERNSEY
2-AEIP,,A320,,,,,,,,,,,,,,43F796,,,GUERNSEY
2-AERC,,B772,,,,,,,,,,,,,,43EBF4,L2J,,UNITED KINGDOM
2-AERJ,,B737,,,,,,,,,,,,,,43ED8A,L2J,,UNITED KINGDOM
2-AERN,,B738,,,,,,,,,,,,,,43ED9C,,,GUERNSEY
2-AERO,AERO TECHNOLOGIES INC.,E135,,,,,,,,,,,,,,43ED73,L2J,AERO TECHNOLOGIES INC.,UNITED KINGDOM
2-AERP,,B738,,,,,,,,,,,,,,43ED9D,,,GUERNSEY
2-AIAT,,B744,,,,,,,,,,,,,,43F77A,,,GUERNSEY
2-AKOP,,AC11,,,,,,,,,,,,,,43EB16,L1P,PRIVATE,UNITED KINGDOM
2-ALCA,,BCS3,,,,,,,,,,,,,,43F791,,,GUERNSEY
2-ALCB,,BCS3,,,,,,,,,,,,,,43F78E,,,GUERNSEY
2-ALOU,,ALO2,,,,,,,,,,,,,,43EBF8,H1T,,UNITED KINGDOM
2-ALPS,,FA50,,,,,,,,,,,,,,43F71A,,,GUERNSEY
2-AMBO,,ASTR,,,,,,,,,,,,,,43F78A,,,GUERNSEY
2-ANBA,,A320,,,,,,,,,,,,,,43EDAC,L2J,,UNITED KINGDOM
2-ANJA,,BE20,,,,,,,,,,,,,,43F795,,,GUERNSEY
2-ANLD,,PA34,,,,,,,,,,,,,,43EBB4,L2P,PRIVATE,UNITED KINGDOM
2-ANVL,,FA8X,,,,,,,,,,,,,,43F700,,,GUERNSEY
2-AOBG,,B738,,,,,,,,,,,,,,43EDEF,,,GUERNSEY
2-AODZ,,A333,,,,,,,,,,,,,,43EDEC,L2J,,UNITED KINGDOM
2-ASKY,,B738,,,,,,,,,,,,,,43EECA,L2J,,UNITED KINGDOM
2-ATRA,,AT76,,,,,,,,,,,,,,43EC2F,L2T,,UNITED KINGDOM
2-ATRO,,AT46,,,,,,,,,,,,,,43EE13,,,GUERNSEY
2-AUER,CORPORATE AIRLINK,SF50,,,,,,,COO,,,CORPORATE,,,,43EBE5,L1J,CORPORATE,UNITED KINGDOM
2-AVLA,,B739,,,,,,,,,,,,,,43ED39,L2J,,UNITED KINGDOM
2-AVLB,,B739,,,,,,,,,,,,,,43ED35,L2J,,UNITED KINGDOM
2-AWBN,,PA30,,,,,,,,,,,,,,43EB6A,L2P,PRIVATE,UNITED KINGDOM
2-AZFR,,C402,,,,,,,,,,,,,,43EB33,L2P,,UNITED KINGDOM
2-BASG,,B737,,,,,,,,,,,,,,43EBEC,L2J,,UNITED KINGDOM
2-BBMB,,B738,,,,,,,,,,,,,,43EE71,,,GUERNSEY
2-BBME,,B738,,,,,,,,,,,,,,43EE72,,,GUERNSEY
2-BBMH,,B737,,,,,,,,,,,,,,43EE70,L2J,,UNITED KINGDOM
2-BBRV,,B738,,,,,,,,,,,,,,43EDE0,,,GUERNSEY
2-BDAE,,A20N,,,,,,,,,,,,,,43F766,,,GUERNSEY
2-BELL,,B505,,,,,,,,,,,,,,43EC8F,,,GUERNSEY
2-BEST,,AC11,,,,,,,,,,,,,,43EB1D,L1P,PRIVATE,UNITED KINGDOM
2-BIGG,VOLARE AVIATION,B737,,,,,,,VLZ,,,,,,,43EE8A,,,GUERNSEY
2-BILL,,EA50,,,,,,,,,,,,,,43EE2F,L2J,,UNITED KINGDOM
2-BJNL,,A332,,,,,,,,,,,,,,43EE61,L2J,,UNITED KINGDOM
2-BKJS,,AT76,,,,,,,,,,,,,,43EDD2,,,GUERNSEY
2-BLUE,,CL61,,,,,,,,,,,,,,43EBBD,,VOLARE AVIATION,UNITED KINGDOM
2-BOTS,,E145,,,,,,,,,,,,,,43F77C,,,GUERNSEY
2-BOYS,,AC11,,,,,,,,,,,,,,43EB09,L1P,PRIVATE,UNITED KINGDOM
2-BPDA,,B738,,,,,,,,,,,,,,43EE84,L2J,,UNITED KINGDOM
2-BPDC,,B738,,,,,,,,,,,,,,43EE8D,,,GUERNSEY
2-BPDD,,B738,,,,,,,,,,,,,,43EE8E,,,GUERNSEY
2-BPDG,,B738,,,,,,,,,,,,,,43EE91,L2J,,UNITED KINGDOM
2-BPDJ,,B738,,,,,,,,,,,,,,43EE94,,,GUERNSEY
2-BPDK,,B738,,,,,,,,,,,,,,43EE95,,,GUERNSEY
2-BPDL,,B738,,,,,,,,,,,,,,43EE99,,,GUERNSEY
2-BPDO,,B738,,,,,,,,,,,,,,43EE98,L2J,,UNITED KINGDOM
2-BPDP,,B738,,,,,,,,,,,,,,43EE8F,L2J,,UNITED KINGDOM
2-BPDQ,,B738,,,,,,,,,,,,,,43F761,,,GUERNSEY
2-BRFA,,,,,,,,,,,,,,,,43EEE8,,,GUERNSEY
2-BSSO,,A320,,,,,,,,,,,,,,43F7B4,,,GUERNSEY
2-BTTB,,B738,,,,,,,,,,,,,,43ECAC,L2J,,UNITED KINGDOM
2-BYDF,,S76,,,,,,,,,,,,,,43EB0C,H2T,BRECQHOU DEVELOPMENT LTD,UNITED KINGDOM
2-CALC,,A320,,,,,,,,,,,,,,43F6F5,,,GUERNSEY
2-CAMO,,A109,,,,,,,,,,,,,,43F6B6,,,GUERNSEY
2-CAMP,,EA50,,,,,,,,,,,,,,43EE26,L2J,,UNITED KINGDOM
2-CATS,,A109,,,,,,,,,,,,,,43EDCE,H2T,,UNITED KINGDOM
2-CAZZ,,EA50,,,,,,,,,,,,,,43EE39,L2J,,UNITED KINGDOM
2-CCPP,,B738,,,,,,,,,,,,,,43ED75,L2J,,UNITED KINGDOM
2-CCXB,,B737,,,,,,,,,,,,,,43F6E8,,,GUERNSEY
2-CCXC,,B737,,,,,,,,,,,,,,43F6E9,,,GUERNSEY
2-CHAL,,CRJ2,,,,,,,,,,,,,,43F75D,,,GUERNSEY
2-CHEZ,,P28A,,,,,,,,,,,,,,43EB12,L1P,PRIVATE,UNITED KINGDOM
2-CHIU,,GLF4,,,,,,,,,,,,,,43EBFD,L2J,,UNITED KINGDOM
2-CHOP,,B06,,,,,,,,,,,,,,43F776,,,GUERNSEY
2-CIAS,,BN2P,,,,,,,,,,,,,,43ECF4,L2P,,UNITED KINGDOM
2-CINE,,AS55,,,,,,,,,,,,,,43ECEB,H2T,,UNITED KINGDOM
2-CLES,,CL60,,,,,,,,,,,,,,43ED27,L2J,,UNITED KINGDOM
2-CLEV,,C25A,,,,,,,,,,,,,,43EC3F,L2J,CLEVEWOOD AVIATION LTD,UNITED KINGDOM
2-CLLP,,A139,,,,,,,,,,,,,,43EEF0,H2T,,UNITED KINGDOM
2-CLPI,,S92,,,,,,,,,,,,,,43F711,,,GUERNSEY
2-CLRK,,EA50,,,,,,,,,,,,,,43ED08,L2J,,UNITED KINGDOM
2-COLD,,EC30,,,,,,,,,,,,,,43EE7E,,,GUERNSEY
2-COOK,,C525,,,,,,,,,,,,,,43EE43,L2J,,UNITED KINGDOM
2-COOL,,P180,,,,,,,,,,,,,,43EE32,L2T,,UNITED KINGDOM
2-CPRO,,A333,,,,,,,,,,,,,,43EE54,L2J,,UNITED KINGDOM
2-CREW,,C208,,,,,,,,,,,,,,43EBE7,L1T,WAVES,UNITED KINGDOM
2-CRGD,,PA34,,,,,,,,,,,,,,43ED2C,L2P,,UNITED KINGDOM
2-CSBJ,,B738,,,,,,,,,,,,,,43ED6D,L2J,,UNITED KINGDOM
2-CUTE,,CL61,,,,,,,,,,,,,,43EB44,,VOLARE AVIATION,UNITED KINGDOM
2-CYAS,,,,,,,,,,,,,,,,43EBE1,,,GUERNSEY
2-CYFR,,S22T,,,,,,,,,,,,,,43EB3E,L1P,,UNITED KINGDOM
2-DARE,,PC12,,,,,,,,,,,,,,43EBCD,L1T,BRIGHTLING SERVICES LTD,UNITED KINGDOM
2-DAVE,,EA50,,,,,,,,,,,,,,43EDD1,L2J,,UNITED KINGDOM
2-DBCV,,AT45,,,,,,,,,,,,,,43EBBA,L2T,,UNITED KINGDOM
2-DBRV,,SF50,,,,,,,,,,,,,,43EDDF,L1J,,UNITED KINGDOM
2-DEAL,,PA32,,,,,,,,,,,,,,43EC91,L1P,,UNITED KINGDOM
2-DEER,,B788,,,,,,,,,,,,,,43EB76,L2J,DEER JET BEIJING,UNITED KINGDOM
2-DEWS,,EA50,,,,,,,,,,,,,,43EDE1,L2J,,UNITED KINGDOM
2-DGMI,,B738,,,,,,,,,,,,,,43F6C8,,,GUERNSEY
2-DHIA,,CL60,,,,,,,,,,,,,,43EB00,,,GUERNSEY
2-DITO,,P46T,,,,,,,,,,,,,,43EB14,L1T,CITAVIA BV,UNITED KINGDOM
2-DIVT,,A109,,,,,,,,,,,,,,43F6C5,,,GUERNSEY
2-DLOO,,P06T,,,,,,,,,,,,,,43EC45,L2P,,UNITED KINGDOM
2-DOGZ,,DA62,,,,,,,,,,,,,,43EEC7,L2P,,UNITED KINGDOM
2-DOLU,,BE58,,,,,,,,,,,,,,43EB03,L2P,PRIVATE,UNITED KINGDOM
2-DRDR,,SF50,,,,,,,,,,,,,,43ED56,L1J,,UNITED KINGDOM
2-DREM,,A320,,,,,,,,,,,,,,43EE77,,,GUERNSEY
2-DRNK,,EC55,,,,,,,,,,,,,,43F748,,,GUERNSEY
2-EALC,,A346,,,,,,,,,,,,,,43EC47,L4J,,UNITED KINGDOM
2-EALL,,A346,,,,,,,,,,,,,,43ED6F,L4J,,UNITED KINGDOM
2-EASY,,P180,,,,,,,,,,,,,,43ED3F,,,GUERNSEY
2-EATA,,AT76,,,,,,,,,,,,,,43EE12,L2T,,UNITED KINGDOM
2-EENS,,A319,,,,,,,,,,,,,,43EEA7,L2J,,UNITED KINGDOM
2-EGJB,,SR22,,,,,,,,,,,,,,43EC6E,L1P,,UNITED KINGDOM
2EIXQ,,B738,,,,,,,,,,,,,,43F6FD,,,GUERNSEY
2-EIXQ,,,,,,,,,,,,,,,,43EF32,,,GUERNSEY
2-EJEL,,C550,,,,,,,,,,,,,,43F6FE,,,GUERNSEY
2-ELIX,,AT75,,,,,,,,,,,,,,43EC49,,,GUERNSEY
2-ELZE,,AT75,,,,,,,,,,,,,,43EEBD,L2T,,UNITED KINGDOM
2-EMBB,,E190,,,,,,,,,,,,,,43EE81,L2J,,UNITED KINGDOM
2-EMBR,,E55P,,,,,,,,,,,,,,43ED51,L2J,,UNITED KINGDOM
2-ESTA,,B738,,,,,,,,,,,,,,43F772,,,GUERNSEY
2-EZBC,,A319,,,,,,,,,,,,,,43F76D,,,GUERNSEY
2-EZRA,,B738,,,,,,,,,,,,,,43EE52,L2J,,UNITED KINGDOM
2-FALB,,E170,,,,,,,,,,,,,,43EDFA,L2J,,UNITED KINGDOM
2-FAST,,P180,,,,,,,,,,,,,,43ED0B,L2T,,UNITED KINGDOM
2-FBXB,,AT76,,,,,,,,,,,,,,43EE6A,L2T,,UNITED KINGDOM
2-FEEL,,SF50,,,,,,,,,,,,,,43ED0D,L1J,,UNITED KINGDOM
2-FERY,,A109,,,,,,,,,,,,,,43EE05,,,GUERNSEY
2-FFLY,,S22T,,,,,,,,,,,,,,43ED7D,L1P,,UNITED KINGDOM
2-FIFI,,BE20,,,,,,,,,,,,,,43ECF5,L2T,,UNITED KINGDOM
2-FINC,,E170,,,,,,,,,,,,,,43EC11,L2J,,UNITED KINGDOM
2-FLGP,,A320,,,,,,,,,,,,,,43EE38,L2J,,UNITED KINGDOM
2-FLIP,,H25B,,,,,,,,,,,,,,43EE08,L2J,,UNITED KINGDOM
2-FLKS,,B38M,,,,,,,,,,,,,,43EEFA,,,GUERNSEY
2-FLYT,,PC12,,,,,,,,,,,,,,43EC83,,,GUERNSEY
2-FLYY,,PC12,,,,,,,,,,,,,,43EB80,L1T,M OZMERTER,UNITED KINGDOM
2-FPLF,,B350,,,,,,,,,,,,,,43EB7B,L2T,MIRALTY HOLDINGS,UNITED KINGDOM
2-FUNN,,P32R,,,,,,,,,,,,,,43ED5F,L1P,,UNITED KINGDOM
2-FWCA,,A321,,,,,,,,,,,,,,43EEAE,,,GUERNSEY
2-FWCB,,A321,,,,,,,,,,,,,,43EEAF,,,GUERNSEY
2-FWCC,,A21N,,,,,,,,,,,,,,43EEB0,,,GUERNSEY
2-FWCD,,A21N,,,,,,,,,,,,,,43EEB1,,,GUERNSEY
2-FWSN,,B738,,,,,,,,,,,,,,43F760,,,GUERNSEY
2-FZUA,,B738,,,,,,,,,,,,,,43EF2B,,,GUERNSEY
2-GALA,,PA31,,,,,,,,,,,,,,43F79A,,,GUERNSEY
2-GATE,,B738,,,,,,,,,,,,,,43EE51,L2J,,UNITED KINGDOM
2-GAYE,,EA50,,,,,,,,,,,,,,43EE4D,L2J,,UNITED KINGDOM
2-GAZL,,GAZL,,,,,,,,,,,,,,43EBB2,H1T,,UNITED KINGDOM
2-GCJK,,A320,,,,,,,,,,,,,,43F783,,,GUERNSEY
2-GEOS,,B738,,,,,,,,,,,,,,43F725,,,GUERNSEY
2-GGGG,,CL60,,,,,,,,,,,,,,43EE4F,L2J,,UNITED KINGDOM
2-GGGT,,C560,,,,,,,,,,,,,,43EC6D,L2J,,UNITED KINGDOM
2-GJJA,GAINJET IRELAND LTD,G650,,,,,,,GJI,,,GAINSTAR,,,,43EC7F,GLF6,GAINJET IRELAND LTD,UNITED KINGDOM
2-GJSA,,AT45,,,,,,,,,,,,,,43EB5C,L2T,,UNITED KINGDOM
2-GJSB,,AT45,,,,,,,,,,,,,,43EB5B,L2T,,UNITED KINGDOM
2-GNKA,,EC25,,,,,,,,,,,,,,43F7C5,,,GUERNSEY
2-GNSY,,AC11,,,,,,,,,,,,,,43EB4B,L1P,,UNITED KINGDOM
2-GOLD,,P28B,,,,,,,,,,,,,,43EC60,L1P,,UNITED KINGDOM
2-GOLF,CORPORATE AIRLINK,C25A,,,,,,,COO,,,CORPORATE,,,,43EB98,L2J,CORPORATE,UNITED KINGDOM
2-GOOD,,DA62,,,,,,,,,,,,,,43EE82,,,GUERNSEY
2-GOTG,,B738,,,,,,,,,,,,,,43EE3E,,,GUERNSEY
2-GPIB,,AT75,,,,,,,,,,,,,,43EC87,L2T,,UNITED KINGDOM
2-GSPC,,A320,,,,,,,,,,,,,,43EF3E,,,GUERNSEY
2-GSYJ,,DA42,,,,,,,,,,,,,,43EB34,L2P,PRIVATE,UNITED KINGDOM
2-GULF,,GLF4,,,,,,,,,,,,,,43EB0D,L2J,EXECUJET EUROPE AG,UNITED KINGDOM
2-HAIB,,AT45,,,,,,,,,,,,,,43F7AD,,,GUERNSEY
2-HAWK,,ALO2,,,,,,,,,,,,,,43EC2C,H1T,,UNITED KINGDOM
2-HBGT,,B737,,,,,,,,,,,,,,43EEEC,,,GUERNSEY
2-HBGX,,B737,,,,,,,,,,,,,,43EEED,L2J,,UNITED KINGDOM
2-HELI,,A109,,,,,,,,,,,,,,43EE2D,H2T,,UNITED KINGDOM
2-HELO,,A109,,,,,,,,,,,,,,43EB58,H2T,PRIVATE,UNITED KINGDOM
2-HELX,,EC35,,,,,,,,,,,,,,43EED3,H2T,,UNITED KINGDOM
2-HELY,,EC35,,,,,,,,,,,,,,43EEDF,H2T,,UNITED KINGDOM
2-HERM,,DA62,,,,,,,,,,,,,,43EC46,L2P,,UNITED KINGDOM
2-HEVE,,MD87,,,,,,,,,,,,,,43ED63,L2J,,UNITED KINGDOM
2-HGRN,,B738,,,,,,,,,,,,,,43EE6B,,,
2-HLAB,,B738,,,,,,,,,,,,,,43EF15,,,GUERNSEY
2-HLLV,,B738,,,,,,,,,,,,,,43ED90,L2J,,UNITED KINGDOM
2-HOPL,,AT76,,,,,,,,,,,,,,43ED5A,,,GUERNSEY
2-HOPY,,AT72,,,,,,,,,,,,,,43ED4A,,,
2-HOVR,,A109,,,,,,,,,,,,,,43EE4A,,,GUERNSEY
2-HOWW,,B738,,,,,,,,,,,,,,43EF2A,,,GUERNSEY
2-HPAG,,B738,,,,,,,,,,,,,,43F78C,,,GUERNSEY
2-HPEB,,LJ40,,,,,,,,,,,,,,43EE1D,L2J,,UNITED KINGDOM
2-HVFN,,A320,,,,,,,,,,,,,,43EEEF,L2J,,UNITED KINGDOM
2-HWDN,,CL60,,,,,,,,,,,,,,43F701,,,GUERNSEY
2-HXFD,,A332,,,,,,,,,,,,,,43EE88,,,GUERNSEY
2-HXFJ,,A332,,,,,,,,,,,,,,43EDD8,L2J,,UNITED KINGDOM
2-HZPQ,,E190,,,,,,,,,,,,,,43ED98,L2J,,UNITED KINGDOM
2-HZPR,,E190,,,,,,,,,,,,,,43ED97,L2J,,UNITED KINGDOM
2-IBAZ,,B739,,,,,,,,,,,,,,43F710,,,GUERNSEY
2-ICED,,EC30,,,,,,,,,,,,,,43F706,,,GUERNSEY
2-IDTI,,A320,,,,,,,,,,,,,,43F7BD,,,GUERNSEY
2-ISSW,,EC55,,,,,,,,,,,,,,43EEF6,H2T,,UNITED KINGDOM
2-JACK,,P46T,,,,,,,,,,,,,,43EB3B,L1T,MK HOMES LTD,UNITED KINGDOM
2-JDEJ,,A109,,,,,,,,,,,,,,43EE4C,H2T,,UNITED KINGDOM
2-JECL,,DH8D,,,,,,,,,,,,,,43F6EA,,,GUERNSEY
2-JEFE,,PC12,,,,,,,,,,,,,,43EE33,L1T,,UNITED KINGDOM
2-JEFF,,EA50,,,,,,,,,,,,,,43F6C4,,,GUERNSEY
2-JEFS,,P32R,,,,,,,,,,,,,,43EB97,L1P,PRIVATE,UNITED KINGDOM
2-JEKA,,B77W,,,,,,,,,,,,,,43ECAA,L2J,,UNITED KINGDOM
2-JETS,,E135,,,,,,,,,,,,,,43ED83,L2J,,UNITED KINGDOM
2-JEZA,,EA50,,,,,,,,,,,,,,43EC85,L2J,,UNITED KINGDOM
2-JFJC,,GLEX,,,,,,,,,,,,,,43EB7C,L2J,VOLARE AVIATION,UNITED KINGDOM
2-JGAF,,,,,,,,,,,,,,,,43EE9F,,,GUERNSEY
2-JGAW,,E190,,,,,,,,,,,,,,43EE9E,,,GUERNSEY
2-JOHN,,E190,,,,,,,,,,,,,,43EEA0,,,GUERNSEY
2-JPLK,,B738,,,,,,,,,,,,,,43EE62,,,GUERNSEY
2-JRSY,,E550,,,,,,,,,,,,,,43ED52,L2J,,UNITED KINGDOM
2-JSEG,,EA50,,,,,,,,,,,,,,43EB83,L2J,AERIS AVIATION LTD,UNITED KINGDOM
2-JSKI,,B738,,,,,,,,,,,,,,43EEFD,,,GUERNSEY
2-JXDW,,B38M,,,,,,,,,,,,,,43ECE0,L2J,,UNITED KINGDOM
2-KCBA,,AT76,,,,,,,,,,,,,,43EDD4,L2T,,UNITED KINGDOM
2-KCMQ,,,,,,,,,,,,,,,,43EEEE,,,GUERNSEY
2-KISS,,EA50,,,,,,,,,,,,,,43EE42,L2J,,UNITED KINGDOM
2-KJPE,,B738,,,,,,,,,,,,,,43EE93,,,GUERNSEY
2-KLEY,,E190,,,,,,,,,,,,,,43EE01,L2J,,UNITED KINGDOM
2-KMOL,,A320,,,,,,,,,,,,,,43F6F4,,,
2-KNOW,,SR22,,,,,,,,,,,,,,43EAFE,L1P,,UNITED KINGDOM
2-KOOL,,P28A,,,,,,,,,,,,,,43EB01,L1P,PRIVATE,UNITED KINGDOM
2-KPOW,,AT73,,,,,,,,,,,,,,43F6C1,,,GUERNSEY
2-KSFR,,GLEX,,,,,,,,,,,,,,43ECF3,L2J,,UNITED KINGDOM
2-KUTG,,B738,,,,,,,,,,,,,,43EE63,,,GUERNSEY
2-KYCM,,GLF6,,,,,,,,,,,,,,43EC4D,L2J,,UNITED KINGDOM
2-LAND,,AC11,,,,,,,,,,,,,,43EB3D,L1P,PRIVATE,UNITED KINGDOM
2-LATE,,CL60,,,,,,,,,,,,,,43EB60,L2J,,UNITED KINGDOM
2-LBIS,,B738,,,,,,,,,,,,,,43F6CB,,,GUERNSEY
2-LCCV,,A333,,,,,,,,,,,,,,43EF39,,,GUERNSEY
2-LDER,,E190,,,,,,,,,,,,,,43EEFF,,,GUERNSEY
2-LIFE,,EA50,,,,,,,,,,,,,,43EB51,L2J,BRIIGITTE VONK,UNITED KINGDOM
2-LIFT,,A109,,,,,,,,,,,,,,43EB29,H2T,LIFT WEST LTD,GUERNSEY
2-LISS,,EA50,,,,,,,,,,,,,,43EDDA,L2J,,UNITED KINGDOM
2-LIVE,,PC12,,,,,,,,,,,,,,43EBC1,L1T,,UNITED KINGDOM
2-LIVI,,E50P,,,,,,,,,,,,,,43F786,,,GUERNSEY
2-LOKI,,EA50,,,,,,,,,,,,,,43ED00,,,GUERNSEY
2-LOOK,,PA46,,,,,,,,,,,,,,43ECFE,L1P,,UNITED KINGDOM
2-LOUD,,ALO2,,,,,,,,,,,,,,43EC76,,,GUERNSEY
2-LOVE,,BE36,,,,,,,,,,,,,,43EB1C,L1P,PRIVATE,UNITED KINGDOM
2-LRGG,,B738,,,,,,,,,,,,,,43EE58,,,GUERNSEY
2-LUDO,,AT75,,,,,,,,,,,,,,43EEE0,L2T,,UNITED KINGDOM
2-LVHK,,B738,,,,,,,,,,,,,,43EDC4,,,GUERNSEY
2-LYCO,,PA30,,,,,,,,,,,,,,43ED09,L2P,,UNITED KINGDOM
2-MAFS,,A333,,,,,,,,,,,,,,43EE78,L2J,,UNITED KINGDOM
2-MAHY,,A333,,,,,,,,,,,,,,43EE5B,,,GUERNSEY
2-MAPP,,C421,,,,,,,,,,,,,,43EB71,L2P,PRIVATE,UNITED KINGDOM
2-MAPZ,VLUGHEID B.V.,BE9L,,,,,,,,,,,,,,43EC3C,L2T,VLUGHEID B.V.,UNITED KINGDOM
2-MARS,,P46T,,,,,,,,,,,,,,43EB2A,L1T,,UNITED KINGDOM
2-MATO,,GL5T,,,,,,,,,,,,,,43EB4A,L2J,,UNITED KINGDOM
2-MCLN,,S22T,,,,,,,,,,,,,,43ED50,L1P,,UNITED KINGDOM
2-MELS,,B738,,,,,,,,,,,,,,43F6CA,,,GUERNSEY
2-META,,AT75,,,,,,,,,,,,,,43ED20,,,GUERNSEY
2-MGDC,,A320,,,,,,,,,,,,,,43EF3F,,,GUERNSEY
2-MICK,,AT76,,,,,,,,,,,,,,43EE5C,,,GUERNSEY
2-MIKE,,AC11,,,,,,,,,,,,,,43EB08,L1P,PRIVATE,UNITED KINGDOM
2-MINI,,EA50,,,,,,,,,,,,,,43EE10,L2J,,UNITED KINGDOM
2-MKJK,,A319,,,,,,,,,,,,,,43EED0,L2J,,UNITED KINGDOM
2-MLBU,,PA46,,,,,,,,,,,,,,43EC90,L1P,,UNITED KINGDOM
2-MLIT,,AT75,,,,,,,,,,,,,,43F6D7,,,GUERNSEY
2-MMTT,,B721,,,,,,,,,,,,,,43EBA3,L3J,OPERATOR UNKNOWN,UNITED KINGDOM
2-MMWD,,C185,,,,,,,,,,,,,,43F7C2,,,GUERNSEY
2-MORO,,CL60,,,,,,,,,,,,,,43EB68,L2J,VOLARE AVIATION,UNITED KINGDOM
2-MOVE,,B733,,,,,,,,,,,,,,43EBB5,L2J,,UNITED KINGDOM
2-MREF,,A320,,,,,,,,,,,,,,43F6F7,,,GUERNSEY
2-MRNO,,A320,,,,,,,,,,,,,,43F6F6,,,GUERNSEY
2-MROD,,AT75,,,,,,,,,,,,,,43F6FF,,,GUERNSEY
2-MSCA,,B738,,,,,,,,,,,,,,43EF23,,,GUERNSEY
